Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Acer saccharum,0.071,Low,Heterospecific,11.88,-0.04,11,11.2,1,NA,NA
Acer saccharum,0.079,Med,Conspecific,19.56,0.26,14.14,11.89,1,NA,NA
Quercus rubra,0.079,Med,Heterospecific,7,3.56,26.33,15.14,0,X,NA
Quercus alba,0.079,Med,Conspecific,22,3.54,25.94,12.25,0,X,NA
Quercus rubra,0.079,Med,Conspecific,15.96,3.57,25.75,14.62,1,NA,NA
Quercus rubra,0.071,Low,Heterospecific,26,3.89,23.43,16.39,0,X,NA
Prunus serotina,0.076,Med,Heterospecific,57.98,0.57,5.4,6.1,1,NA,NA
Quercus alba,0.083,Med,Heterospecific,18.38,4.88,18.46,22.01,0,NA,X
Quercus rubra,0.118,Med,Heterospecific,17.64,3.44,22.85,16.6,0,NA,X
Quercus rubra,0.118,Med,Heterospecific,17.64,3.44,22.85,16.6,0,NA,X
Quercus rubra,0.076,Med,Heterospecific,13,3.64,22.98,16.12,0,X,NA
Quercus rubra,0.076,Med,Heterospecific,27,3.64,19.3,18.91,0,X,NA
Quercus alba,0.073,Low,Heterospecific,7,4.69,22.94,16.63,0,X,NA
Quercus alba,0.076,Med,Heterospecific,19,4.92,19.29,21.67,0,X,NA
Quercus alba,0.076,Med,Sterilized,6,2.83,22.75,16.24,0,X,NA
Quercus rubra,0.082,Med,Sterilized,4.09,3.3,24.98,14.45,0,NA,X
Acer saccharum,0.076,Med,Heterospecific,18.16,-0.15,10.32,10.73,1,NA,NA
Quercus alba,0.073,Low,Heterospecific,11,3.58,19.82,19.21,0,X,NA
Acer saccharum,0.118,Med,Sterilized,8.38,0.14,10.63,11.53,1,NA,NA
Quercus rubra,0.073,Low,Heterospecific,19,2.9,24.53,12.62,0,X,NA
Quercus rubra,0.073,Low,Heterospecific,15,3.7,22.76,16.8,0,X,NA
Quercus rubra,0.1,Med,Sterilized,8.35,3.51,24.68,15.09,0,NA,X
Quercus rubra,0.073,Low,Conspecific,19,2.69,32.21,9.85,0,X,NA
Quercus rubra,0.082,Med,Heterospecific,17.88,3.55,26.87,14.48,1,NA,NA
Quercus alba,0.118,Med,Heterospecific,22.62,5.22,18.79,24,1,NA,NA
Quercus alba,0.1,Med,Conspecific,15.82,4.97,23.32,16.81,1,NA,NA
Quercus alba,0.1,Med,Sterilized,10.91,3.77,18.81,21.58,1,NA,NA
Prunus serotina,0.076,Med,Sterilized,1,0.23,7.67,10.42,0,X,NA
Acer saccharum,0.082,Med,Sterilized,10.58,-0.03,12.92,12.57,1,NA,NA
Quercus alba,0.082,Med,Heterospecific,23.53,5.01,19.39,20.67,1,NA,NA
Prunus serotina,0.073,Low,Heterospecific,30.16,0.55,4.97,6.92,1,NA,NA
Quercus rubra,0.082,Med,Conspecific,14.95,3.6,25.81,14.58,1,NA,NA
Acer saccharum,0.076,Med,Heterospecific,15.55,-0.04,13.43,12.19,1,NA,NA
Prunus serotina,0.076,Med,Conspecific,35.51,0.44,5.22,7.05,1,NA,NA
Quercus rubra,0.076,Med,Heterospecific,28,3.79,26.79,14.46,0,X,NA
Quercus alba,0.076,Med,Sterilized,0,3.41,23.55,15.44,0,X,NA
Quercus alba,0.076,Med,Heterospecific,17,4.91,21.39,18,0,X,NA
Quercus alba,0.076,Med,Conspecific,9,4.81,23.69,16.19,0,X,NA
Prunus serotina,0.073,Low,Heterospecific,21.77,0.31,5.09,6.89,1,NA,NA
Prunus serotina,0.073,Low,Sterilized,11.31,0.25,6.04,10.08,1,NA,NA
Quercus alba,0.1,Med,Sterilized,10.91,3.77,18.81,21.58,0,NA,X
Quercus rubra,0.1,Med,Heterospecific,19.52,3.83,21.37,17.78,0,NA,X
Prunus serotina,0.073,Low,Sterilized,11.31,0.25,6.04,10.08,1,NA,NA
Quercus alba,0.082,Med,Heterospecific,16.39,4.82,17.99,21.76,0,NA,X
Quercus rubra,0.076,Med,Heterospecific,21,2.53,24.31,11.6,0,X,NA
Quercus rubra,0.076,Med,Heterospecific,12,3.86,19.48,19.29,0,X,NA
Acer saccharum,0.1,Med,Sterilized,7,0.08,12.48,12.24,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,15.35,4.15,18.88,23.37,1,NA,NA
Quercus rubra,0.1,Med,Heterospecific,29.07,3.81,26.63,14.74,0,NA,X
Quercus alba,0.082,Med,Sterilized,0.72,2.87,19.49,17.79,1,NA,NA
Quercus rubra,0.073,Low,Sterilized,5,3.34,23.66,15.59,0,X,NA
Acer saccharum,0.076,Med,Heterospecific,14.49,0,10.39,10.83,1,NA,NA
Acer saccharum,0.082,Med,Sterilized,10.58,-0.03,12.92,12.57,1,NA,NA
Quercus rubra,0.1,Med,Heterospecific,29.07,3.81,26.63,14.74,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,15.35,4.15,18.88,23.37,0,NA,X
Quercus rubra,0.076,Med,Heterospecific,16,3.96,22.76,17.22,0,X,NA
Quercus alba,0.076,Med,Heterospecific,21,4.41,21.5,17.62,0,X,NA
Quercus rubra,0.082,Med,Heterospecific,19.2,3.72,20.64,18.29,0,NA,X
Prunus serotina,0.086,Med,Sterilized,0,0.19,7.39,11.24,0,X,NA
Quercus rubra,0.082,Med,Heterospecific,20.54,3.79,26.87,14.81,0,NA,X
Quercus alba,0.086,Med,Heterospecific,0,4.86,25.77,14.43,0,X,NA
Quercus rubra,0.086,Med,Heterospecific,32,3.7,19.15,20.01,0,X,NA
Quercus alba,0.1,Med,Heterospecific,15.35,4.15,18.88,23.37,0,NA,X
Quercus alba,0.098,Med,Heterospecific,16,3.97,18.39,22.39,0,X,NA
Prunus serotina,0.086,Med,Heterospecific,35.87,0.72,10.36,13.55,1,NA,NA
Quercus alba,0.082,Med,Heterospecific,27.5,4.84,17.84,21.92,0,NA,X
Quercus rubra,0.086,Med,Conspecific,17,3.8,21.03,18.26,0,X,NA
Acer saccharum,0.086,Med,Heterospecific,15.37,-0.03,13.92,12.05,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,11.18,5.24,21.72,17.86,0,NA,X
Quercus alba,0.082,Med,Heterospecific,16.76,4.48,17.56,23.24,0,NA,X
Prunus serotina,0.098,Med,Heterospecific,19.52,0.35,9.6,11.9,1,NA,NA
Quercus rubra,0.082,Med,Heterospecific,20.73,2.58,24.61,11.98,0,NA,X
Prunus serotina,0.098,Med,Sterilized,0,0.07,4.95,9.48,0,X,NA
Quercus alba,0.098,Med,Sterilized,12,3.72,19.39,19.64,0,X,NA
Acer saccharum,0.098,Med,Heterospecific,16.32,-0.05,13.42,12.12,1,NA,NA
Acer saccharum,0.098,Med,Sterilized,7,0.1,11.7,11.99,0,X,NA
Acer saccharum,0.098,Med,Heterospecific,14.56,0.05,14.23,12.65,1,NA,NA
Acer saccharum,0.098,Med,Heterospecific,14.56,0.05,14.23,12.65,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,12.86,4.67,17.64,23.98,0,NA,X
Acer saccharum,0.1,Med,Sterilized,7,0.08,12.48,12.24,1,NA,NA
Quercus alba,0.1,Med,Conspecific,15.82,4.97,23.32,16.81,1,NA,NA
Quercus alba,0.086,Med,Heterospecific,0,4.51,26.25,14.48,0,X,NA
Quercus rubra,0.086,Med,Sterilized,5,3.4,25.05,14.59,0,X,NA
Quercus rubra,0.082,Med,Heterospecific,17.88,3.55,26.87,14.48,0,NA,X
Quercus rubra,0.098,Med,Conspecific,72,3.86,28.11,15.44,0,X,NA
Quercus rubra,0.08,Med,Heterospecific,21.82,3.78,23.36,16.67,0,NA,X
Quercus alba,0.08,Med,Heterospecific,15.95,4.48,17.42,23.36,0,NA,X
Quercus rubra,0.08,Med,Heterospecific,22.83,2.55,24.77,11.85,0,NA,X
Quercus rubra,0.08,Med,Conspecific,18.22,2.6,25.01,11.7,0,NA,X
Prunus serotina,0.086,Med,Heterospecific,29.94,0.56,10.76,13.39,1,NA,NA
Quercus rubra,0.098,Med,Heterospecific,41,3.33,24.86,14.96,0,X,NA
Acer saccharum,0.103,Med,Heterospecific,14.91,-0.15,13.51,12.15,1,NA,NA
Prunus serotina,0.086,Med,Heterospecific,17.26,0.28,10.99,13.42,1,NA,NA
